rank	score	lean	gate	band	deadline	value	candidate	title	hard	soft
1	50	40	-1	GOOD	2026-08-28T23:59:59+02:00	800000.0	TED:421844-2026	Belgium – Public relations services – Support for the organisation of events and other communication and information activities of the European Parliament Liaison Office in Hungary	onsite	partner_allowed,electronic
2	28	22	-4	GOOD	2026-09-09T23:59:59+02:00	2000000.0	TED:425617-2026	Belgium – Public relations services – Support for the organisation of events and other communication and information activities of the European Parliament Liaison Office in Spain	onsite	partner_allowed
3	24	28	-4	MAYBE	2026-08-31T01:00:00+00:00	350000.0	TED:577903-2026	Ireland – Miscellaneous special-purpose machinery – 26/338A Single Party Framework Agreement for a Multi Material Drop-On-Demand (DoD) Inkjet 3D Printing System for Atlantic Technological University	onsite	partner_allowed
4	24	28	-4	MAYBE	2026-09-11T00:00:00+01:00		TED:581223-2026	France – Printing paper – Fourniture de papiers de reprographie et de bobines pour traceur grand format	onsite	partner_allowed
5	24	28	-4	MAYBE	2026-09-28T02:00:00+00:00		TED:579174-2026	France – Business services: law, marketing, consulting, recruitment, printing and security – DARPeM : Pharmacovigilance et Infomed	onsite	partner_allowed
6	24	28	-4	MAYBE	2026-09-25T23:59:59+02:00		TED:581507-2026	Germany – Printing and related services – Backuplösung Druck- und Kuvertierzentrum	onsite	partner_allowed
7	19	18	0	GOOD	2026-09-07T09:00:00+00:00		PL-BZP:08df01da-f371-d2f5-b346-0300018ce1ba	Przeprowadzenie zewnętrznych kompleksowych testów penetracyjnych i testów bezpieczeństwa platformy Małopolskiego Systemu Informacji Medycznej (MSIM)		
8	18	22	-4	MAYBE	2026-08-31T03:00:00+00:00	2113841.7	TED:486753-2026	Romania – License management software package – Achiziție licențe: Licențe uzuale (Lot 1); Licențe antivirus (Lot 2), Licențe web-site (Lot 3), Licențe/suport echipamente securizare și monitorizare conexiuni utilizatori cu drepturi ridicate (Lot 4)	onsite	partner_allowed
9	18	18	0	LOW	2026-08-31T00:00:00+00:00		WORLD-BANK:OP00463402	3.G.2.1 The Calculation Model For Selecting Sustainable Financing Alternatives (CMSF)		
10	18	16	-4	GOOD	2026-08-28T02:00:00+00:00		TED:516863-2026	Germany – Software supply services – EU-weite Ausschreibung über die Beschaffung einer Rahmenvereinbarung für eine Awareness-Maßnahme	onsite	partner_allowed
11	17	18	-1	MAYBE	2026-08-27T12:00:00+00:00	0.0	ZA_ETENDERS_OCDS:ocds-9t57fa-163368-2026-07-24	05/2025-CMS...	onsite	partner_allowed,electronic
12	16	16	0	MAYBE	2026-08-28T01:00:00+00:00		TED:511245-2026	France – Public relations consultancy services – Conseil en stratégie partenariale et promotion du territoire dans le cadre du projet "Révéler Saint-Dizier"-.		
