rank	lean	postdce	deadline	value	candidate_id	title	run	shard
1	27	54	2026-09-09T02:00:00+00:00		TED:534097-2026	Latvia – Digital printing services – Multifunkcionālo drukas iekārtu noma	32213968608	11
2	24	63	2026-08-31T02:00:00+00:00	1.0	TED:533200-2026	Germany – IT services: consulting, software development, Internet and support – Content Bibliothek	32213968608	20
3	21	54	2026-09-25T02:00:00+00:00	308000.0	TED:512394-2026	Spain – E-learning services – Suscripción a plataforma de autoaprendizaje	32262216923	12
4	15	63	2026-09-08T23:59:59+02:00		TED:566260-2026	Germany – IT services: consulting, software development, Internet and support – Scanndienstleistung Verwaltungsakten	32015167876	64
5	15	63	2026-09-02T08:00:00+02:00	1900000.0	TED:532174-2026	Germany – IT services: consulting, software development, Internet and support – Technische Unterstützungsleistungen für das Honorar-, Vertrags- und Abrechnungs-Programm-System („HOPSYS“) im Südwestrundfunk	32213968608	40
6	15	63	2026-09-04T23:59:59+02:00		TED:566598-2026	Germany – IT services: consulting, software development, Internet and support – IT-Supportservice für die St.-Augustinus-Schule in Trägerschaft des Bistums Hildesheim	32015167876	57
7	15	63			TED:608824-2023	Belgium – IT services: consulting, software development, Internet and support – Alle DIENSTEN waarvoor bij Infrabel een kwalificatiesysteem bestaat.	32433967446	0
8	15	62	2026-09-09T09:00:00+02:00		TED:568143-2026	Slovenia – IT services: consulting, software development, Internet and support – Posodobitev merilnih mest na MRP, MP in MT zaradi prenosa podatkov (ponovljeno naročilo)	32015167876	65
9	15	60	2026-09-03T02:00:00+00:00		TED:578214-2026	Germany – IT services: consulting, software development, Internet and support – IT-Supportvertrag an ausgewählten Schulen des Landkreises Lörrach	32333373390	6
10	15	60	2029-12-11T02:00:00+00:00	3553719.01	TED:750809-2024	Lithuania – Software development services – RRF „Socialinių paslaugų prieinamumo didinimas“ programinės įrangos kūrimo ir Socialinės paramos šeimai informacinės sistemos programinės įrangos vystymo paslaugos	32262216923	34
11	15	60	2026-08-25T02:00:00+00:00		TED:514465-2026	Germany – IT services: consulting, software development, Internet and support – Beschaffung und Integration eines mandantenfähigen KI-Stacks	32213968608	33
12	12	57	2026-09-10T03:00:00+00:00	67200000.0	TED:573450-2026	Romania – Miscellaneous software development services and computer systems – Servicii de dezvoltare și implementare a Sistemului Informatic Integrat inclusiv software de bază și instruire utilizatori” în cadrul proiectului ”Date și Informații Statistice Tehnologizate de Interes Național pentru Cunoaștere și Transparență” (DISTINCT), COD SMIS 343122	32339156467	12
13	12	45	2027-07-01T12:00:00+01:00	750000.0	TED:484705-2026	Ireland – Education and training services – 2024/37 - Readvertisement Year 3 of Panel for suitable Service Providers for the provision of Environmental and Energy Management Training Courses and Demonstration in 2 Lots	32780541374	3
14	10	55	2026-09-10T11:00:00+02:00		TED:585176-2026	Slovenia – IT services: consulting, software development, Internet and support – Vzdrževanje in nadgradnja novega IS inšpektorjev UVHVVR (N-ISI)	32789925117	4
15	9	54	2026-09-21T02:00:00+00:00	250000.0	TED:514986-2026	Spain – IT services: consulting, software development, Internet and support – Servicio de Ciberseguridad	32213968608	32
